No,Nama Dokumen,Nomor Dokumen,Tanggal Dokumen,Jenis Dokumen,Isi Dokumen
352,Daftar inventaris,SMKT-AD/SRP/352/2025,10 March 2025,Sarana dan Prasarana,Dokumen 'Daftar inventaris' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
353,Form administrasi perizinan,SMKT-AD/ADM/353/2025,18 May 2025,Administrasi,Dokumen 'Form administrasi perizinan' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
354,Rencana pengembangan kurikulum,SMKT-AD/KUR/354/2025,22 October 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
355,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/355/2025,25 May 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
356,SK pemberhentian sementara,SMKT-AD/KPG/356/2025,12 September 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
357,Formulir mutasi siswa,SMKT-AD/SW/357/2025,11 February 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
358,Form administrasi perizinan,SMKT-AD/ADM/358/2025,21 January 2025,Administrasi,Dokumen 'Form administrasi perizinan' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
359,Laporan pengadaan alat,SMKT-AD/SRP/359/2025,20 June 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
360,Rekap dana BOS,SMKT-AD/KUG/360/2025,10 March 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
361,Laporan hasil rapat,SMKT-AD/ADM/361/2025,28 May 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
362,Formulir mutasi siswa,SMKT-AD/SW/362/2025,14 April 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
363,Daftar mata pelajaran,SMKT-AD/AKD/363/2025,01 September 2025,Akademik,Dokumen 'Daftar mata pelajaran' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
364,Rekap penilaian akhir,SMKT-AD/EVL/364/2025,13 June 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
365,Surat edaran sekolah,SMKT-AD/ADM/365/2025,03 June 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
366,Rencana kegiatan belajar,SMKT-AD/AKD/366/2025,02 September 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
367,Jadwal ujian tengah semester,SMKT-AD/AKD/367/2025,03 July 2025,Akademik,Dokumen 'Jadwal ujian tengah semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
368,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/368/2025,12 May 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
369,Rencana pengembangan kurikulum,SMKT-AD/KUR/369/2025,25 October 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
370,Laporan kinerja tahunan,SMKT-AD/KPG/370/2025,17 March 2025,Kepegawaian,Dokumen 'Laporan kinerja tahunan' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
371,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/371/2025,09 November 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
372,Daftar nilai ujian akhir,SMKT-AD/SW/372/2025,07 July 2025,Siswa,Dokumen 'Daftar nilai ujian akhir' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
373,Surat undangan rapat,SMKT-AD/ADM/373/2025,06 April 2025,Administrasi,Dokumen 'Surat undangan rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
374,SK pengangkatan guru,SMKT-AD/KPG/374/2025,21 April 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
375,Formulir pendaftaran siswa baru,SMKT-AD/SW/375/2025,12 November 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
376,Laporan hasil wawancara siswa,SMKT-AD/EVL/376/2025,28 December 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
377,Laporan kinerja tahunan,SMKT-AD/KPG/377/2025,19 March 2025,Kepegawaian,Dokumen 'Laporan kinerja tahunan' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
378,Laporan keuangan semester,SMKT-AD/KUG/378/2025,14 August 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
379,Rencana anggaran tahunan,SMKT-AD/KUG/379/2025,14 April 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
380,Laporan audit internal,SMKT-AD/KUG/380/2025,14 November 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
381,Jadwal pemakaian lab,SMKT-AD/SRP/381/2025,22 November 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
382,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/382/2025,02 July 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
383,Rekap nilai siswa per kelas,SMKT-AD/AKD/383/2025,13 July 2025,Akademik,Dokumen 'Rekap nilai siswa per kelas' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
384,Program semester,SMKT-AD/KUR/384/2025,15 October 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
385,Daftar inventaris,SMKT-AD/SRP/385/2025,18 August 2025,Sarana dan Prasarana,Dokumen 'Daftar inventaris' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
386,Panduan penilaian,SMKT-AD/KUR/386/2025,07 July 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
387,Laporan kinerja tahunan,SMKT-AD/KPG/387/2025,27 October 2025,Kepegawaian,Dokumen 'Laporan kinerja tahunan' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
388,Jadwal remedial,SMKT-AD/AKD/388/2025,09 October 2025,Akademik,Dokumen 'Jadwal remedial' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
389,Rekap barang masuk dan keluar,SMKT-AD/SRP/389/2025,23 July 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
390,Laporan realisasi anggaran,SMKT-AD/KUG/390/2025,07 October 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
391,Surat tugas panitia,SMKT-AD/ADM/391/2025,04 February 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
392,Jadwal pemakaian lab,SMKT-AD/SRP/392/2025,06 October 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
393,Rekap barang masuk dan keluar,SMKT-AD/SRP/393/2025,27 August 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
394,Daftar nilai ujian akhir,SMKT-AD/SW/394/2025,28 January 2025,Siswa,Dokumen 'Daftar nilai ujian akhir' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
395,Jadwal pelajaran semester genap,SMKT-AD/AKD/395/2025,03 November 2025,Akademik,Dokumen 'Jadwal pelajaran semester genap' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
396,Daftar nilai ujian akhir,SMKT-AD/SW/396/2025,14 March 2025,Siswa,Dokumen 'Daftar nilai ujian akhir' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
397,Rekap barang masuk dan keluar,SMKT-AD/SRP/397/2025,21 April 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
398,Daftar materi ajar,SMKT-AD/KUR/398/2025,12 October 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
399,Jadwal pemakaian lab,SMKT-AD/SRP/399/2025,08 January 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
400,Laporan absensi pegawai,SMKT-AD/KPG/400/2025,10 March 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
401,Rekap dana BOS,SMKT-AD/KUG/401/2025,10 July 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
402,Modul pembelajaran,SMKT-AD/KUR/402/2025,21 February 2025,Kurikulum,Dokumen 'Modul pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
403,Jadwal remedial,SMKT-AD/AKD/403/2025,06 September 2025,Akademik,Dokumen 'Jadwal remedial' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
404,Laporan kas harian,SMKT-AD/KUG/404/2025,07 September 2025,Keuangan,Dokumen 'Laporan kas harian' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
405,Notulen rapat guru,SMKT-AD/KPG/405/2025,06 July 2025,Kepegawaian,Dokumen 'Notulen rapat guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
406,Agenda kegiatan sekolah,SMKT-AD/ADM/406/2025,20 July 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
407,SK pemberhentian sementara,SMKT-AD/KPG/407/2025,29 August 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
408,Rencana kegiatan belajar,SMKT-AD/AKD/408/2025,09 January 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
409,Surat peringatan kedisiplinan siswa,SMKT-AD/SW/409/2025,21 July 2025,Siswa,Dokumen 'Surat peringatan kedisiplinan siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
410,Daftar nilai ujian akhir,SMKT-AD/SW/410/2025,10 December 2025,Siswa,Dokumen 'Daftar nilai ujian akhir' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
411,Kartu ujian siswa,SMKT-AD/SW/411/2025,01 November 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
412,Laporan supervisi kelas,SMKT-AD/EVL/412/2025,06 May 2025,Evaluasi,Dokumen 'Laporan supervisi kelas' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
413,Rekap data guru dan staf,SMKT-AD/KPG/413/2025,24 April 2025,Kepegawaian,Dokumen 'Rekap data guru dan staf' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
414,Laporan supervisi kelas,SMKT-AD/EVL/414/2025,26 February 2025,Evaluasi,Dokumen 'Laporan supervisi kelas' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
415,Rekap penilaian akhir,SMKT-AD/EVL/415/2025,27 May 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
416,Silabus pembelajaran,SMKT-AD/KUR/416/2025,06 January 2025,Kurikulum,Dokumen 'Silabus pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
417,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/417/2025,04 January 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
418,Formulir mutasi siswa,SMKT-AD/SW/418/2025,27 July 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
419,SK pemberhentian sementara,SMKT-AD/KPG/419/2025,02 February 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
420,Laporan audit internal,SMKT-AD/KUG/420/2025,04 October 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
421,Rekap barang masuk dan keluar,SMKT-AD/SRP/421/2025,14 June 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
422,Jadwal pemakaian lab,SMKT-AD/SRP/422/2025,15 April 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
423,Program tahunan,SMKT-AD/KUR/423/2025,17 July 2025,Kurikulum,Dokumen 'Program tahunan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
424,Program semester,SMKT-AD/KUR/424/2025,17 September 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
425,Jadwal pemakaian lab,SMKT-AD/SRP/425/2025,04 January 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
426,Laporan pemeliharaan sarana,SMKT-AD/SRP/426/2025,05 June 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
427,Jadwal pemakaian lab,SMKT-AD/SRP/427/2025,03 July 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
428,Agenda kegiatan sekolah,SMKT-AD/ADM/428/2025,03 September 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
429,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/429/2025,17 May 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
430,Laporan keuangan semester,SMKT-AD/KUG/430/2025,24 February 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
431,Analisis hasil belajar siswa,SMKT-AD/EVL/431/2025,21 January 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
432,Panduan penilaian,SMKT-AD/KUR/432/2025,05 October 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
433,Berita acara serah terima barang,SMKT-AD/SRP/433/2025,11 February 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
434,Jadwal remedial,SMKT-AD/AKD/434/2025,16 May 2025,Akademik,Dokumen 'Jadwal remedial' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
435,Surat izin orang tua,SMKT-AD/SW/435/2025,09 May 2025,Siswa,Dokumen 'Surat izin orang tua' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
436,Rekap barang masuk dan keluar,SMKT-AD/SRP/436/2025,26 July 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
437,Kartu ujian siswa,SMKT-AD/SW/437/2025,12 August 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
438,Laporan hasil wawancara siswa,SMKT-AD/EVL/438/2025,07 October 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
439,Daftar siswa remedial,SMKT-AD/EVL/439/2025,25 March 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
440,Notulen rapat,SMKT-AD/ADM/440/2025,16 March 2025,Administrasi,Dokumen 'Notulen rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
441,Jadwal ujian tengah semester,SMKT-AD/AKD/441/2025,10 June 2025,Akademik,Dokumen 'Jadwal ujian tengah semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
442,Jadwal remedial,SMKT-AD/AKD/442/2025,11 January 2025,Akademik,Dokumen 'Jadwal remedial' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
